"","Day","State","ChinaVirusInterest","KungFluInterest"
"605",2020-03-31,"CT",21,0
"606",2020-04-01,"CT",14,0
"607",2020-04-02,"CT",24,0
"608",2020-04-03,"CT",7,0
"609",2020-04-04,"CT",43,0
"610",2020-04-05,"CT",46,8
"611",2020-04-06,"CT",14,0
"612",2020-04-07,"CT",11,0
"613",2020-04-08,"CT",11,0
"614",2020-04-09,"CT",7,0
"615",2020-04-10,"CT",8,0
"616",2020-04-11,"CT",25,0
"617",2020-04-12,"CT",9,9
"618",2020-04-13,"CT",7,0
"619",2020-04-14,"CT",19,0
"620",2020-04-15,"CT",25,0
"621",2020-04-16,"CT",18,0
"622",2020-04-17,"CT",29,0
"623",2020-04-18,"CT",16,0
"624",2020-01-21,"DC",0,0
"625",2020-01-22,"DC",40,0
"626",2020-01-23,"DC",47,0
"627",2020-01-24,"DC",28,0
"628",2020-01-25,"DC",76,0
"629",2020-01-26,"DC",100,0
"630",2020-01-27,"DC",25,0
"631",2020-01-28,"DC",39,0
"632",2020-01-29,"DC",13,0
"633",2020-01-30,"DC",40,0
"634",2020-01-31,"DC",14,0
"635",2020-02-01,"DC",0,0
"636",2020-02-02,"DC",0,0
"637",2020-02-03,"DC",25,0
"638",2020-02-04,"DC",13,0
"639",2020-02-05,"DC",25,0
"640",2020-02-06,"DC",13,0
"641",2020-02-07,"DC",14,0
"642",2020-02-08,"DC",21,0
"643",2020-02-09,"DC",32,0
"644",2020-02-10,"DC",32,0
"645",2020-02-11,"DC",12,0
"646",2020-02-12,"DC",25,0
"647",2020-02-13,"DC",0,0
"648",2020-02-14,"DC",29,0
"649",2020-02-15,"DC",0,0
"650",2020-02-16,"DC",0,0
"651",2020-02-17,"DC",20,0
"652",2020-02-18,"DC",26,0
"653",2020-02-19,"DC",13,0
"654",2020-02-20,"DC",13,0
"655",2020-02-21,"DC",28,0
"656",2020-02-22,"DC",21,0
"657",2020-02-23,"DC",0,0
"658",2020-02-24,"DC",0,0
"659",2020-02-25,"DC",12,0
"660",2020-02-26,"DC",12,0
"661",2020-02-27,"DC",12,0
"662",2020-02-28,"DC",0,0
"663",2020-02-29,"DC",21,0
"664",2020-03-01,"DC",41,0
"665",2020-03-02,"DC",0,0
"666",2020-03-03,"DC",0,0
"667",2020-03-04,"DC",12,0
"668",2020-03-05,"DC",0,0
"669",2020-03-06,"DC",13,0
"670",2020-03-07,"DC",21,0
"671",2020-03-08,"DC",0,0
"672",2020-03-09,"DC",12,0
"673",2020-03-10,"DC",12,0
"674",2020-03-11,"DC",12,0
"675",2020-03-12,"DC",24,0
"676",2020-03-13,"DC",14,0
"677",2020-03-14,"DC",22,0
"678",2020-03-15,"DC",0,0
"679",2020-03-16,"DC",14,0
"680",2020-03-17,"DC",30,0
"681",2020-03-18,"DC",31,16
"682",2020-03-19,"DC",32,16
"683",2020-03-20,"DC",0,0
"684",2020-03-21,"DC",0,0
"685",2020-03-22,"DC",43,0
"686",2020-03-23,"DC",0,0
"687",2020-03-24,"DC",33,0
"688",2020-03-25,"DC",17,0
"689",2020-03-26,"DC",52,0
"690",2020-03-27,"DC",25,0
"691",2020-03-28,"DC",22,0
"692",2020-03-29,"DC",0,0
"693",2020-03-30,"DC",16,0
"694",2020-03-31,"DC",17,0
"695",2020-04-01,"DC",17,0
"696",2020-04-02,"DC",25,0
"697",2020-04-03,"DC",17,0
"698",2020-04-04,"DC",22,0
"699",2020-04-05,"DC",0,0
"700",2020-04-06,"DC",16,0
"701",2020-04-07,"DC",0,0
"702",2020-04-08,"DC",17,0
"703",2020-04-09,"DC",0,0
"704",2020-04-10,"DC",18,0
"705",2020-04-11,"DC",21,0
"706",2020-04-12,"DC",21,0
"707",2020-04-13,"DC",0,0
"708",2020-04-14,"DC",0,0
"709",2020-04-15,"DC",0,0
"710",2020-04-16,"DC",34,0
"711",2020-04-17,"DC",17,0
"712",2020-04-18,"DC",0,0
"713",2020-01-21,"DE",30,0
"714",2020-01-22,"DE",61,0
"715",2020-01-23,"DE",31,0
"716",2020-01-24,"DE",96,0
"717",2020-01-25,"DE",100,0
"718",2020-01-26,"DE",30,0
"719",2020-01-27,"DE",29,0
"720",2020-01-28,"DE",45,0
"721",2020-01-29,"DE",91,0
"722",2020-01-30,"DE",0,0
"723",2020-01-31,"DE",61,0
"724",2020-02-01,"DE",100,0
"725",2020-02-02,"DE",0,32
"726",2020-02-03,"DE",27,0
"727",2020-02-04,"DE",29,0
"728",2020-02-05,"DE",30,0
"729",2020-02-06,"DE",0,0
"730",2020-02-07,"DE",29,0
"731",2020-02-08,"DE",0,0
"732",2020-02-09,"DE",0,0
"733",2020-02-10,"DE",0,28
"734",2020-02-11,"DE",57,0
"735",2020-02-12,"DE",29,0
"736",2020-02-13,"DE",0,0
"737",2020-02-14,"DE",0,0
"738",2020-02-15,"DE",0,0
"739",2020-02-16,"DE",0,0
"740",2020-02-17,"DE",28,0
"741",2020-02-18,"DE",0,0
"742",2020-02-19,"DE",28,0
"743",2020-02-20,"DE",0,0
"744",2020-02-21,"DE",0,0
"745",2020-02-22,"DE",0,0
"746",2020-02-23,"DE",0,0
"747",2020-02-24,"DE",0,0
"748",2020-02-25,"DE",28,0
"749",2020-02-26,"DE",0,0
"750",2020-02-27,"DE",27,0
"751",2020-02-28,"DE",0,0
"752",2020-02-29,"DE",32,0
"753",2020-03-01,"DE",31,0
"754",2020-03-02,"DE",27,0
"755",2020-03-03,"DE",0,0
"756",2020-03-04,"DE",28,0
"757",2020-03-05,"DE",0,0
"758",2020-03-06,"DE",56,0
"759",2020-03-07,"DE",32,0
"760",2020-03-08,"DE",31,0
"761",2020-03-09,"DE",0,0
"762",2020-03-10,"DE",0,0
"763",2020-03-11,"DE",41,0
