date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/21/2020,DE,45,36,0,,81,10
3/21/2020,FL,658,6579,12,158,7237,12
3/21/2020,GA,507,2557,14,,3064,13
3/21/2020,GU,15,108,,,123,66
3/21/2020,HI,37,124,,,161,15
3/21/2020,IA,68,1049,,,1117,19
3/21/2020,ID,31,880,,,911,16
3/21/2020,IL,753,5488,6,,6241,17
3/21/2020,IN,126,707,4,1,833,18
3/21/2020,KS,55,417,2,,472,20
3/21/2020,KY,54,714,2,,768,21
3/21/2020,LA,585,2180,16,,2765,22
3/21/2020,MA,525,4752,1,61,5277,25
3/21/2020,MD,190,94,2,,284,24
3/21/2020,ME,73,2264,,,2337,23
3/21/2020,MI,4543,3696,5,,8239,26
3/21/2020,MN,138,3952,1,,4090,27
3/21/2020,MO,73,369,3,,442,29
3/21/2020,MP,0,,0,,0,69
3/21/2020,MS,140,695,1,,835,28
3/21/2020,MT,20,1146,,,1166,30
3/21/2020,NC,184,5092,0,,5276,37
3/21/2020,ND,28,1141,0,3,1169,38
3/21/2020,NE,38,356,0,,394,31
3/21/2020,NH,55,973,,,1028,33
3/21/2020,NJ,1327,294,16,,1621,34
3/21/2020,NM,57,3771,,,3828,35
3/21/2020,NV,124,2384,2,,2508,32
3/21/2020,NY,10356,35081,44,1603,45437,36
3/21/2020,OH,247,140,3,58,387,39
3/21/2020,OK,53,560,1,10,613,40
3/21/2020,OR,114,2003,3,,2117,41
3/21/2020,PA,371,3766,2,,4137,42
3/21/2020,PR,21,143,,,164,72
3/21/2020,RI,66,862,,,928,44
3/21/2020,SC,152,1255,1,,1407,45
3/21/2020,SD,14,691,1,,705,46
3/21/2020,TN,371,3272,,,3643,47
3/21/2020,TX,304,6218,5,,6522,48
3/21/2020,UT,136,2424,0,,2560,49
3/21/2020,VA,152,2638,2,25,2790,51
3/21/2020,VI,6,,,,6,78
3/21/2020,VT,29,779,2,,808,50
3/21/2020,WA,2006,21719,108,,23725,53
3/21/2020,WI,281,4628,4,,4909,55
3/21/2020,WV,11,330,0,1,341,54
